Tiempo,Hora,Frecuencia Cardiaca,Frecuencia Respiratoria,Estado
1,13:28:44,90,0,Presente
2,13:28:56,0,0,Vacio
3,13:29:08,0,0,Vacio
4,13:29:19,0,0,Vacio
5,13:29:31,0,0,Vacio
6,13:29:44,0,0,Vacio
7,13:29:57,0,0,Vacio
8,13:30:08,0,0,Vacio
9,13:30:20,0,0,Vacio
10,13:30:32,0,0,Vacio
11,13:30:43,0,0,Vacio
12,13:30:55,0,0,Vacio
13,13:31:09,0,0,Vacio
14,13:31:20,0,0,Vacio
15,13:31:32,0,0,Vacio
16,13:31:44,0,0,Vacio
17,13:31:55,0,0,Vacio
18,13:32:08,0,0,Vacio
19,13:32:21,0,0,Vacio
20,13:32:34,0,0,Vacio
21,13:32:45,0,0,Presente
22,13:32:57,88,0,Presente
23,13:33:10,88,20,Presente
24,13:33:21,88,20,Presente
25,13:33:33,88,19,Presente
26,13:33:45,88,18,Presente
27,13:33:56,88,18,Presente
28,13:34:09,70,17,Presente
29,13:34:20,70,15,Presente
30,13:34:32,69,15,Presente
31,13:34:44,69,64,Presente
32,13:34:56,121,65,Presente
33,13:35:08,66,65,Presente
34,13:35:20,66,18,Presente
35,13:35:33,128,23,Presente
36,13:35:45,72,23,Presente
37,13:35:56,117,17,Presente
38,13:36:08,65,14,Presente
39,13:36:22,69,66,Presente
40,13:36:34,121,20,Presente
41,13:36:45,69,11,Presente
42,13:36:58,81,9,Presente
43,13:37:09,122,9,Presente
44,13:37:20,70,12,Presente
45,13:37:32,72,12,Presente
46,13:37:44,72,61,Presente
47,13:37:56,71,15,Presente
48,13:38:07,70,15,Presente
49,13:38:20,63,17,Presente
50,13:38:31,62,16,Presente
51,13:38:43,68,13,Presente
52,13:38:56,76,62,Presente
53,13:39:07,80,12,Presente
54,13:39:19,86,10,Presente
55,13:39:32,0,0,Presente
56,13:39:44,81,14,Presente
57,13:39:58,77,64,Presente
58,13:40:11,76,18,Presente
59,13:40:23,86,66,Presente
60,13:40:35,89,18,Presente
61,13:40:48,89,18,Presente
62,13:41:01,89,65,Presente
63,13:41:15,86,0,Presente
64,13:41:28,126,18,Presente
65,13:41:43,123,18,Presente
66,13:41:54,81,20,Presente
67,13:42:06,71,16,Presente
68,13:42:20,125,11,Presente
69,13:42:32,77,10,Presente
70,13:42:44,76,13,Presente
71,13:42:58,0,0,Presente
72,13:43:09,138,14,Presente
73,13:43:21,83,14,Presente
74,13:43:37,87,64,Presente
75,13:43:50,83,14,Presente
76,13:44:02,83,13,Presente
77,13:44:14,83,13,Presente
78,13:44:26,83,12,Presente
79,13:44:40,0,0,Presente
80,13:44:51,78,62,Presente
81,13:45:06,66,62,Presente
82,13:45:18,65,14,Presente
83,13:45:34,81,12,Presente
84,13:45:50,125,13,Presente
85,13:46:03,138,12,Presente
86,13:46:15,88,10,Presente
87,13:46:30,82,9,Presente
88,13:46:42,87,12,Presente
89,13:46:55,87,65,Presente
90,13:47:07,139,17,Presente
91,13:47:22,79,65,Presente
92,13:47:35,80,18,Presente
93,13:47:48,83,64,Presente
94,13:48:02,83,62,Presente
95,13:48:14,83,18,Presente
96,13:48:26,131,65,Presente
97,13:48:38,131,69,Presente
98,13:48:50,124,65,Presente
99,13:49:04,70,14,Presente
100,13:49:16,70,14,Presente
101,13:49:28,78,14,Presente
102,13:49:41,79,63,Presente
