Index,Hora,Frecuencia Cardiaca,Frecuencia Respiratoria,Estado
1,10:39:47,117,16,En habitacion
2,10:39:58,130,17,En habitacion
3,10:40:12,130,17,En habitacion
4,10:40:27,0,0,Vacio
5,10:40:37,0,16,En habitacion
6,10:40:52,70,66,En habitacion
7,10:41:04,70,66,En habitacion
8,10:41:15,70,66,En habitacion
9,10:41:25,70,66,En habitacion
10,10:41:35,70,66,En habitacion
11,10:41:46,82,66,En habitacion
12,10:42:01,88,16,En habitacion
13,10:42:10,88,64,En habitacion
14,10:42:21,83,0,En habitacion
15,10:42:31,74,65,En habitacion
16,10:42:44,74,65,En habitacion
17,10:42:55,74,65,En habitacion
18,10:43:06,74,65,En habitacion
19,10:43:16,74,65,En habitacion
20,10:43:26,74,65,En habitacion
21,10:43:38,83,13,En habitacion
22,10:43:47,135,17,En habitacion
23,10:43:58,0,0,En habitacion
24,10:44:10,83,14,En habitacion
25,10:44:20,83,14,En habitacion
26,10:44:29,86,15,En habitacion
27,10:44:39,137,63,En habitacion
28,10:44:49,137,63,En habitacion
29,10:44:59,137,63,En habitacion
30,10:45:10,137,208,En habitacion
31,10:45:21,80,11,En habitacion
32,10:45:31,132,14,En habitacion
33,10:45:43,0,0,En habitacion
34,10:45:54,80,65,En habitacion
35,10:46:04,80,65,En habitacion
36,10:46:16,80,65,En habitacion
37,10:46:27,80,65,Durmiendo
38,10:46:38,80,65,Durmiendo
39,10:46:50,80,65,Durmiendo
40,10:47:04,80,16,Durmiendo
41,10:47:15,62,14,En habitacion
42,10:47:25,0,0,En habitacion
43,10:47:35,0,14,En habitacion
44,10:47:46,137,62,En habitacion
45,10:47:59,85,14,En habitacion
46,10:48:10,85,16,En habitacion
47,10:48:21,76,15,En habitacion
48,10:48:32,76,11,En habitacion
49,10:48:43,76,11,En habitacion
50,10:48:53,83,10,En habitacion
51,10:49:07,0,0,En habitacion
52,10:49:18,0,0,En habitacion
53,10:49:30,0,11,En habitacion
54,10:49:40,0,11,En habitacion
55,10:49:50,71,9,En habitacion
56,10:50:00,117,10,En habitacion
57,10:50:11,73,9,En habitacion
58,10:50:22,73,9,En habitacion
59,10:50:34,81,59,En habitacion
60,10:50:45,133,59,En habitacion
61,10:50:56,0,0,Vacio
62,10:51:10,0,0,Vacio
63,10:51:21,0,0,En habitacion
64,10:51:31,0,0,En habitacion
65,10:51:43,0,0,En habitacion
66,10:51:54,0,0,En habitacion
67,10:52:05,0,0,En habitacion
68,10:52:17,70,64,En habitacion
69,10:52:27,70,19,En habitacion
70,10:52:37,70,22,En habitacion
71,10:52:48,70,22,En habitacion
72,10:52:59,122,22,En habitacion
73,10:53:10,81,18,En habitacion
74,10:53:22,135,15,En habitacion
75,10:53:32,83,12,En habitacion
76,10:53:42,83,14,En habitacion
77,10:53:53,133,14,En habitacion
78,10:54:04,70,19,En habitacion
79,10:54:15,70,19,En habitacion
80,10:54:25,70,21,En habitacion
81,10:54:36,122,22,En habitacion
82,10:54:46,75,68,En habitacion
83,10:54:56,75,20,En habitacion
84,10:55:06,75,20,En habitacion
85,10:55:19,75,20,En habitacion
86,10:55:30,75,20,En habitacion
87,10:55:40,75,20,En habitacion
88,10:55:51,75,20,En habitacion
89,10:56:03,75,20,En habitacion
90,10:56:13,75,20,En habitacion
91,10:56:24,0,0,En habitacion
92,10:56:34,0,0,En habitacion
93,10:56:44,134,65,En habitacion
94,10:56:54,76,14,En habitacion
95,10:57:05,76,14,En habitacion
96,10:57:17,76,14,En habitacion
97,10:57:27,76,14,En habitacion
98,10:57:38,76,14,En habitacion
99,10:57:49,76,14,En habitacion
100,10:58:01,0,11,En habitacion
101,10:58:16,66,63,En habitacion
102,10:58:28,66,63,En habitacion
103,10:58:39,66,63,En habitacion
104,10:58:50,66,63,En habitacion
105,10:59:01,66,63,En habitacion
106,10:59:12,71,65,En habitacion
107,10:59:23,71,65,En habitacion
108,10:59:33,71,65,En habitacion
109,10:59:44,0,0,Vacio
110,10:59:56,0,0,En habitacion
111,11:00:07,0,0,En habitacion
112,11:00:17,0,0,En habitacion
113,11:00:27,0,0,En habitacion
114,11:00:38,0,0,En habitacion
115,11:00:49,0,0,En habitacion
116,11:00:59,0,0,En habitacion
117,11:01:09,0,0,En habitacion
118,11:01:20,0,0,En habitacion
119,11:01:30,0,0,En habitacion
120,11:01:40,0,0,En habitacion
121,11:01:52,77,10,En habitacion
122,11:02:04,86,9,En habitacion
123,11:02:15,86,9,En habitacion
124,11:02:26,86,9,En habitacion
125,11:02:37,64,14,En habitacion
126,11:02:50,114,14,En habitacion
127,11:03:02,114,14,En habitacion
128,11:03:17,0,0,Vacio
129,11:03:31,74,59,En habitacion
130,11:03:43,66,59,En habitacion
131,11:03:55,79,62,En habitacion
132,11:04:07,79,62,En habitacion
133,11:04:20,79,62,En habitacion
134,11:04:32,79,62,En habitacion
135,11:04:45,79,62,En habitacion
136,11:04:58,71,62,En habitacion
137,11:05:09,0,0,En habitacion
138,11:05:21,77,63,En habitacion
139,11:05:33,77,63,En habitacion
140,11:05:45,77,15,En habitacion
141,11:05:56,129,13,En habitacion
142,11:06:08,71,13,En habitacion
143,11:06:19,71,13,En habitacion
144,11:06:33,71,13,En habitacion
145,11:06:46,71,13,En habitacion
146,11:06:59,66,14,En habitacion
147,11:07:11,66,14,En habitacion
148,11:07:22,66,20,En habitacion
149,11:07:35,66,22,En habitacion
150,11:07:47,66,22,En habitacion
151,11:07:59,66,21,En habitacion
152,11:08:10,130,20,En habitacion
153,11:08:23,72,14,En habitacion
154,11:08:35,82,14,En habitacion
155,11:08:48,136,9,En habitacion
156,11:09:01,136,11,En habitacion
157,11:09:16,85,60,En habitacion
158,11:09:28,81,62,En habitacion
159,11:09:40,81,65,En habitacion
160,11:09:52,123,17,En habitacion
161,11:10:04,66,63,En habitacion
162,11:10:16,65,63,En habitacion
163,11:10:29,65,63,En habitacion
164,11:10:43,65,63,En habitacion
165,11:10:56,65,63,En habitacion
166,11:11:08,75,64,En habitacion
167,11:11:22,129,17,En habitacion
168,11:11:34,77,65,En habitacion
169,11:11:47,77,65,En habitacion
170,11:12:00,76,0,En habitacion
171,11:12:12,76,16,En habitacion
172,11:12:25,76,16,En habitacion
173,11:12:37,64,16,En habitacion
174,11:12:49,64,16,En habitacion
175,11:13:02,64,16,En habitacion
176,11:13:15,64,16,En habitacion
177,11:13:29,64,16,En habitacion
178,11:13:41,0,0,En habitacion
