Index,Hora,Frecuencia Cardiaca,Frecuencia Respiratoria,Punto 1,Punto 2,Punto 3,Punto 4,Punto 5
1,11:06:54,78,65,207,240,212,82,164
2,11:07:08,78,16,150,145,83,97,166
3,11:07:25,89,14,111,131,63,71,62
4,11:07:41,74,13,201,113,121,112,130
5,11:07:55,117,14,145,139,132,116,208
6,11:08:12,123,13,137,137,100,95,138
7,11:08:25,75,14,106,95,103,117,0
8,11:08:39,136,14,106,95,103,117,0
9,11:08:53,78,14,122,187,84,0,0
10,11:09:31,70,59,210,105,74,46,203
11,11:09:44,81,11,210,105,74,46,203
12,11:10:01,76,13,119,119,136,172,220
13,11:10:15,83,64,119,119,136,172,220
14,11:10:29,83,64,119,119,136,172,220
15,11:10:43,83,62,119,119,136,172,220
16,11:10:57,83,62,136,131,47,109,97
17,11:11:10,79,63,125,114,121,172,132
18,11:11:24,202,65,125,114,121,183,214
19,11:11:35,74,17,97,66,109,72,159
20,11:11:49,64,16,110,187,165,254,152
21,11:12:06,66,14,78,95,176,247,252
22,11:12:22,66,13,172,114,105,59,87
23,11:12:35,187,11,115,33,138,135,128
24,11:12:47,74,59,72,63,98,153,16
25,11:12:59,126,9,211,109,122,172,16
26,11:13:12,76,10,81,237,110,139,255
27,11:13:25,78,59,81,237,110,139,255
28,11:14:03,71,12,119,47,159,120,93
29,11:14:19,75,11,130,149,130,127,234
30,11:14:33,74,11,130,149,130,127,234
31,11:14:46,74,63,89,19,157,88,26
32,11:15:01,117,15,153,72,106,72,32
33,11:15:15,117,15,114,72,106,72,32
34,11:15:31,0,15,114,72,106,72,32
35,11:16:24,75,63,49,76,98,89,96
36,11:16:55,84,15,110,111,107,121,113
37,11:17:11,89,15,168,190,173,175,175
38,11:17:25,76,14,219,245,136,36,132
39,11:17:39,73,11,240,102,114,126,183
40,11:17:55,0,10,23,194,60,107,110
41,11:18:09,66,60,136,171,103,111,49
42,11:18:28,120,9,224,128,137,125,60
43,11:18:44,64,10,224,128,137,125,60
44,11:19:00,64,10,115,148,127,137,141
45,11:19:15,77,8,128,105,48,200,120
46,11:19:29,86,57,128,105,48,200,120
47,11:19:43,86,13,127,128,127,127,84
48,11:20:16,86,65,126,133,114,125,181
49,11:20:32,76,18,130,131,134,129,124
50,11:20:46,122,18,124,128,133,123,129
51,11:21:01,124,16,126,132,125,126,187
52,11:21:16,124,18,129,125,131,126,186
53,11:21:29,91,25,128,126,128,127,182
54,11:21:45,94,23,129,122,128,135,184
55,11:22:00,86,21,128,123,131,128,187
56,11:22:15,89,25,133,125,131,126,126
57,11:22:29,85,18,133,125,131,126,126
58,11:22:44,72,19,126,123,127,129,181
59,11:23:41,65,0,127,129,127,128,181
60,11:23:57,122,17,126,129,127,125,181
61,11:24:12,70,66,126,129,127,125,181
62,11:24:30,122,21,122,92,138,137,108
63,11:24:43,84,71,143,132,130,137,108
64,11:24:57,85,22,109,119,129,143,186
65,11:25:10,86,72,127,127,127,128,182
66,11:25:26,75,65,112,137,138,131,185
67,11:25:38,75,65,133,129,130,127,158
68,11:25:52,62,16,126,130,128,128,206
69,11:26:07,62,66,149,128,129,129,128
70,11:26:23,76,69,127,128,129,129,128
71,11:26:39,85,69,127,128,129,129,128
72,11:26:52,152,71,127,128,129,129,128
73,11:27:07,96,22,127,128,129,129,128
74,11:27:22,96,23,127,128,129,129,128
75,11:27:37,96,72,127,128,129,129,128
76,11:27:51,93,22,127,128,129,129,128
77,11:28:04,74,18,129,132,122,127,133
78,11:28:19,123,17,221,249,180,84,0
79,11:28:34,123,16,128,127,126,126,184
80,11:28:48,71,17,131,126,126,129,127
81,11:29:02,71,23,128,119,127,129,176
82,11:29:15,100,73,128,119,141,118,181
83,11:29:28,155,26,133,117,126,135,188
84,11:29:42,103,24,133,117,126,135,188
85,11:29:59,80,71,126,131,128,128,123
86,11:30:15,89,73,128,125,128,125,183
87,11:30:32,84,20,148,119,125,121,155
88,11:30:45,136,19,128,137,128,125,129
89,11:31:00,84,17,134,124,127,126,125
90,11:31:14,84,17,137,144,133,145,209
91,11:31:28,84,17,127,119,136,128,148
92,11:31:43,84,17,127,119,136,128,148
93,11:31:57,86,64,127,119,136,128,148
94,11:32:12,141,16,127,119,136,128,148
95,11:32:27,89,71,127,119,128,128,126
96,11:32:41,89,71,123,124,136,134,192
97,11:32:57,89,29,132,126,128,130,194
98,11:33:12,89,26,132,113,113,133,122
99,11:33:42,90,22,131,123,117,132,181
100,11:33:55,96,25,134,129,133,138,135
101,11:34:08,100,76,134,129,133,138,135
102,11:34:22,100,26,126,128,128,128,181
103,11:34:36,98,71,105,137,127,120,122
104,11:34:52,90,23,141,139,125,123,219
105,11:35:04,90,22,141,139,125,123,219
106,11:35:19,90,20,125,130,131,127,138
107,11:35:34,77,20,125,130,131,127,138
108,11:35:50,74,21,118,120,134,126,174
109,11:36:05,126,21,118,120,134,126,174
110,11:36:19,76,17,118,120,134,126,174
111,11:36:34,76,68,120,125,139,124,182
112,11:36:47,146,23,125,128,127,129,126
113,11:37:00,103,26,125,126,129,126,135
114,11:37:13,92,74,166,180,144,91,128
115,11:37:40,142,11,141,109,113,129,139
116,11:37:54,87,10,128,124,49,72,172
117,11:38:06,139,11,132,163,83,89,133
118,11:38:20,87,14,128,128,128,128,128
119,11:38:34,87,13,128,128,128,128,128
120,11:38:47,90,69,128,128,128,128,128
121,11:39:00,90,20,185,133,131,117,217
122,11:39:12,134,68,125,129,133,116,126
123,11:39:24,132,21,125,129,133,116,126
124,11:39:37,75,22,128,128,124,118,129
125,11:39:49,94,24,128,128,125,126,182
126,11:40:04,98,28,126,129,124,130,130
127,11:40:18,98,76,126,129,124,130,130
128,11:40:31,103,28,125,139,139,118,138
129,11:40:43,93,76,164,139,139,118,138
130,11:41:00,88,74,119,134,117,121,173
131,11:41:14,141,22,119,134,117,121,173
132,11:41:26,89,21,119,138,130,123,190
133,11:41:41,89,0,114,118,130,122,131
134,11:41:57,91,68,120,124,111,138,129
135,11:42:09,148,23,126,131,135,137,118
136,11:42:21,98,71,126,88,142,125,173
137,11:42:35,95,22,126,147,141,105,211
138,11:42:48,93,22,143,129,125,129,190
139,11:43:01,145,22,124,131,96,84,0
140,11:43:14,145,19,124,131,96,84,0
