Index,Hora,Frecuencia Cardiaca,Frecuencia Respiratoria
1,13:47:16,78,17
2,13:47:28,78,20
3,13:47:40,78,21
4,13:47:51,73,21
5,13:48:04,90,25
6,13:48:30,99,26
7,13:48:43,91,25
8,13:48:56,91,25
9,13:49:07,91,25
10,13:49:17,89,25
11,13:49:28,141,24
12,13:49:39,89,24
13,13:49:51,81,20
14,13:50:04,74,68
15,13:50:16,125,20
16,13:50:29,71,19
17,13:50:40,71,22
18,13:50:51,84,24
19,13:51:02,137,73
20,13:51:14,94,25
21,13:51:25,132,23
22,13:51:36,83,73
23,13:51:47,97,28
24,13:51:58,89,71
25,13:52:09,98,26
26,13:52:21,100,27
27,13:52:32,98,24
28,13:52:44,86,26
29,13:52:56,96,75
30,13:53:06,88,20
31,13:53:17,88,20
32,13:53:30,88,20
33,13:53:42,88,19
34,13:53:54,85,70
35,13:54:06,82,17
36,13:54:19,253,18
37,13:54:31,90,62
38,13:54:43,137,21
39,13:54:54,90,24
40,13:55:05,90,19
41,13:55:18,142,14
42,13:55:29,137,66
43,13:55:40,85,20
44,13:55:51,74,65
45,13:56:02,127,13
46,13:56:14,77,19
47,13:56:26,77,21
48,13:56:37,64,70
49,13:56:50,134,24
50,13:57:01,52,0
51,13:57:12,52,0
52,13:57:24,52,0
53,13:57:35,52,0
54,13:57:46,52,0
55,13:57:57,52,0
56,13:58:08,52,0
57,13:58:18,52,0
58,13:58:31,52,0
59,13:58:42,52,0
60,13:58:53,52,0
61,13:59:06,52,0
62,13:59:19,52,0
63,13:59:32,52,0
64,13:59:44,52,0
65,13:59:56,52,0
66,14:00:07,52,0
67,14:00:18,52,0
68,14:00:29,52,0
69,14:00:40,52,0
70,14:00:51,52,0
71,14:01:04,52,0
72,14:01:15,52,0
73,14:01:26,52,0
74,14:01:36,52,0
75,14:01:47,52,0
76,14:01:59,52,0
77,14:02:09,52,0
78,14:02:21,52,0
79,14:02:32,52,0
80,14:02:43,52,0
81,14:02:54,52,0
82,14:03:04,52,0
83,14:03:17,52,0
84,14:03:28,52,0
85,14:03:39,52,0
86,14:03:50,52,0
87,14:04:02,52,0
88,14:04:14,52,0
89,14:04:26,52,0
90,14:04:37,52,0
91,14:04:48,52,0
92,14:05:00,52,0
93,14:05:11,52,0
94,14:05:23,52,0
95,14:05:34,52,0
96,14:05:46,52,0
97,14:05:56,52,0
98,14:06:08,52,0
99,14:06:19,52,0
100,14:06:30,52,0
101,14:06:43,52,0
102,14:06:55,52,0
103,14:07:07,52,0
104,14:07:18,52,0
105,14:07:29,52,0
106,14:07:40,52,0
107,14:07:51,52,0
108,14:08:02,52,0
109,14:08:13,52,0
110,14:08:24,52,0
111,14:08:35,52,0
112,14:08:47,52,0
113,14:08:58,52,0
114,14:09:10,52,0
115,14:09:22,52,0
116,14:09:33,52,0
117,14:09:44,52,0
118,14:09:57,52,0
119,14:10:08,52,0
120,14:10:20,52,0
121,14:10:31,52,0
122,14:10:43,52,0
123,14:10:55,52,0
124,14:11:06,52,0
125,14:11:17,52,0
126,14:11:28,52,0
127,14:11:38,52,0
128,14:11:49,52,0
129,14:12:01,52,0
130,14:12:13,52,0
131,14:12:25,52,0
132,14:12:35,52,0
133,14:12:46,52,0
134,14:12:58,52,0
135,14:13:09,52,0
136,14:13:20,52,0
137,14:13:31,52,0
138,14:13:45,52,0
139,14:13:56,52,0
140,14:14:08,52,0
141,14:14:21,52,0
142,14:14:31,52,0
143,14:14:44,52,0
144,14:14:55,52,0
145,14:15:05,52,0
146,14:15:16,52,0
147,14:15:28,52,0
148,14:15:42,52,0
149,14:15:53,52,0
150,14:16:05,52,0
151,14:16:19,52,0
152,14:16:31,52,0
153,14:16:44,52,0
154,14:16:55,52,0
155,14:17:06,52,0
156,14:17:17,52,0
157,14:17:28,52,0
158,14:17:40,52,0
159,14:17:50,52,0
160,14:18:01,52,0
161,14:18:12,52,0
162,14:18:23,52,0
